date_sourced,uri,date_published
2022-01-24,nyt://article/50781478-3ce3-5c57-85de-87199da4d9d4,2022-01-21
2022-01-24,nyt://article/82d027fe-fce5-5693-84fc-5cb99fca71a0,2022-01-23
2022-01-24,nyt://article/5f84fcf4-7f63-587b-85cb-0a16364a8503,2022-01-23
2022-01-24,nyt://article/0c3ea255-6ab4-5e8c-9d45-bb8d65c54ab2,2022-01-22
2022-01-24,nyt://article/bd73ab8d-797f-5edc-b3a4-b203625f3af3,2022-01-22
2022-01-24,nyt://article/43c445ef-a201-56d6-bcce-07dfab901755,2022-01-23
2022-01-24,nyt://article/a7d70f95-ecef-5fc8-bb78-4fe66bdd6f07,2022-01-22
2022-01-24,nyt://legacycollection/fdcb28cc-0247-5d08-a883-128c6ce3edf9,2022-01-23
2022-01-24,nyt://article/6275d842-5c90-560c-9e2a-a42d760dc46a,2022-01-23
2022-01-24,nyt://article/624e273f-cddc-5945-988b-f067663ee5dd,2022-01-19
2022-01-24,nyt://article/d961edce-5782-55f8-89ec-27542522cdf2,2022-01-22
2022-01-24,nyt://article/1e8f1298-6afa-5e8c-bce6-b701cec6a57c,2022-01-23
2022-01-24,nyt://article/24585b8f-1fb9-5e70-9200-b60502db0d2a,2022-01-20
2022-01-24,nyt://article/9bee60ec-d1cd-5e86-8f37-ddd64c5ced06,2022-01-21
2022-01-24,nyt://article/168ef99a-9f1c-5b50-82f9-3c349acae9a6,2022-01-23
2022-01-24,nyt://article/c4cc27ea-ec2a-5908-a4fd-7f975272aa8d,2022-01-22
2022-01-24,nyt://article/b5ca5041-0a6f-521c-b5fc-a2fd63f2a7af,2022-01-23
2022-01-24,nyt://article/b5f2450f-b6c5-5d7c-8e9b-bbf92fec08fe,2022-01-23
2022-01-24,nyt://article/5d445ea5-46c8-58b2-9979-ff5bdc7632b1,2022-01-22
2022-01-24,nyt://article/73c0b651-7637-5bd5-bb5c-651f7f87afab,2022-01-21
