date_sourced,uri,date_published
2022-01-18,nyt://article/f0eae40a-c7c9-584f-a85d-d68544f5d496,2022-01-17
2022-01-18,nyt://article/a8cd2b1d-beab-5c35-a403-6395feaa1db2,2022-01-16
2022-01-18,nyt://article/aeff9a74-2a9b-58f3-b7ad-27aec0bb5ff4,2022-01-16
2022-01-18,nyt://article/3e9f24a2-4313-57d0-bff3-e900f9309062,2022-01-15
2022-01-18,nyt://article/32042f84-b000-5027-aadf-8d55047b4b44,2022-01-16
2022-01-18,nyt://article/47ae1e8e-64e9-5d46-96df-5edfb972edab,2022-01-16
2022-01-18,nyt://article/f60c2c42-854b-595d-a23a-50b6eb1dc3a1,2022-01-16
2022-01-18,nyt://article/e28a1219-771c-5233-8cec-51674bffaf0a,2022-01-17
2022-01-18,nyt://article/b7f649ea-964a-566a-89f5-9d0cbf38ba79,2022-01-17
2022-01-18,nyt://article/c70f7f14-bf99-53c5-b0b9-b1207890a12e,2022-01-17
2022-01-18,nyt://article/f81238c5-d68e-54d9-a6ee-4f0ccb05bc9c,2022-01-16
2022-01-18,nyt://article/44bd060a-4fe5-56b6-86fc-05398b7e36f5,2022-01-17
2022-01-18,nyt://article/f804a2dd-fbd8-57ae-af9a-3a4e25c07fbd,2022-01-17
2022-01-18,nyt://article/f733e3f7-4925-5411-b1bd-3674140155ff,2022-01-16
2022-01-18,nyt://article/2f8c0257-078c-54a6-9207-4a11a60fb8b7,2022-01-16
2022-01-18,nyt://article/55f6b605-3986-58e8-8105-72070a0e060c,2022-01-17
2022-01-18,nyt://article/47b6a5e5-59f7-5e9a-8d40-b00e2882fa71,2022-01-17
2022-01-18,nyt://article/4d849488-0a33-5bdb-a36b-2d2b68a520de,2022-01-16
2022-01-18,nyt://article/5c7dc11a-28fa-5dc2-8c8f-4d31c7572937,2022-01-17
2022-01-18,nyt://article/e77de6bb-dd36-5230-a04f-e1a06cd173fc,2022-01-14
