date_sourced,uri,date_published
2022-01-14,nyt://article/8ac075f7-bdc6-5cb7-a9b4-d026ebefc03e,2022-01-13
2022-01-14,nyt://article/29715e95-8b0a-56cb-a4fb-ada9bfa20e92,2022-01-13
2022-01-14,nyt://article/283b5acf-0fca-5df9-abb4-b8ed0e8bad43,2022-01-13
2022-01-14,nyt://article/1d050850-8dfc-58c4-94db-1a283b860642,2022-01-13
2022-01-14,nyt://article/85f37641-e845-5dfe-8a44-7d7b05f72a42,2022-01-13
2022-01-14,nyt://article/b0491d0b-f8ce-5b2a-8237-2452d892d6a1,2022-01-13
2022-01-14,nyt://article/842a9319-e3e0-5480-8153-8daee5d7e8ec,2022-01-13
2022-01-14,nyt://article/9894494f-2f27-561a-a633-60fa1e0179d2,2022-01-13
2022-01-14,nyt://article/7c8de209-7d1b-577d-9b3c-0844b48139cd,2022-01-13
2022-01-14,nyt://article/d610411e-95da-571f-b984-99219b553ecd,2022-01-13
2022-01-14,nyt://article/36859728-0cde-5229-86cf-14a9e16640a2,2022-01-13
2022-01-14,nyt://article/2f91f19b-012c-5b4b-a01c-ed0912e6f22a,2022-01-13
2022-01-14,nyt://article/264e798a-14be-50dc-b83b-a048f2233e10,2022-01-13
2022-01-14,nyt://article/23e3594a-76c4-5ed7-8cb3-504cb2c44552,2022-01-13
2022-01-14,nyt://article/bc46fb78-f30e-57da-af5a-fad79229ccbe,2022-01-12
2022-01-14,nyt://article/11f060c9-fc40-550f-89e3-bf1e38acb259,2022-01-12
2022-01-14,nyt://article/9f70e229-9296-5ba1-86b8-44400b7821b3,2022-01-13
2022-01-14,nyt://article/ebd8a50b-56cb-55c4-ad80-8f8a03608ffd,2022-01-12
2022-01-14,nyt://article/b950dc69-4118-52a9-bde9-40466e0738bf,2022-01-13
2022-01-14,nyt://article/b97c205f-2c09-5c8b-a1f1-fb5598edc3de,2022-01-12
