date_sourced,uri,date_published
2022-01-17,nyt://article/3e9f24a2-4313-57d0-bff3-e900f9309062,2022-01-15
2022-01-17,nyt://article/73e801a9-d932-5899-96ec-11d092bbb45e,2022-01-16
2022-01-17,nyt://article/f733e3f7-4925-5411-b1bd-3674140155ff,2022-01-16
2022-01-17,nyt://article/8f6337a3-1067-567d-bfc0-7a58d131577f,2022-01-16
2022-01-17,nyt://article/2f8c0257-078c-54a6-9207-4a11a60fb8b7,2022-01-16
2022-01-17,nyt://article/254066c5-67e7-5c80-87f4-8b68e7ba798d,2022-01-15
2022-01-17,nyt://article/f60c2c42-854b-595d-a23a-50b6eb1dc3a1,2022-01-16
2022-01-17,nyt://article/19401bb7-433a-5f22-87c9-2e1f5b7ae0ae,2022-01-15
2022-01-17,nyt://article/340293b5-e3c2-5c58-95e9-61f0fec4079a,2022-01-15
2022-01-17,nyt://article/8e0f9d97-3810-52fc-93e5-507de540517e,2022-01-16
2022-01-17,nyt://article/b66f987e-2d1e-53c1-af8f-6ba8d834368e,2022-01-14
2022-01-17,nyt://article/fe94733b-9eb3-5bb0-9d26-42a85b624d1e,2022-01-15
2022-01-17,nyt://article/763d50b6-f03a-5e84-93e4-a4621f60a089,2022-01-15
2022-01-17,nyt://article/e9d38484-5c73-5385-b548-1b111efa29ea,2022-01-15
2022-01-17,nyt://article/44dde52b-db84-54fb-adc2-e00f71067309,2022-01-15
2022-01-17,nyt://article/76e364c4-738e-5323-9416-c1cd1db45d04,2022-01-15
2022-01-17,nyt://article/3585eb78-fffe-58a1-bf9a-c6a82df8ce3d,2022-01-15
2022-01-17,nyt://article/ad52d330-1f21-51a4-98d0-b2b355d0d6cd,2022-01-16
2022-01-17,nyt://article/d323eb75-7077-5d5f-a28d-1b80121db224,2022-01-15
2022-01-17,nyt://article/0ce99830-80a2-5f50-90d2-c4752a240ad5,2022-01-14
